Crop,RS,RS_bw,DRY
alfalfa,0.4,0.5,0.9
barley,0.22,0.33,0.89
beans-and-pulses,0.19,0.45,0.91
grass,0.8,0.5,0.9
grass-clover-mix,0.8,0.5,0.9
maize,0.22,0.26,0.87
millet,0.22,0.33,0.89
n-fixing-forage,0.4,0.5,0.9
non-legume-hay,0.54,0.5,0.9
non-n-fixing-forage,0.54,0.5,0.9
oats,0.25,1.2,0.89
peanut,0.19,0.45,0.91
potato,0.2,0.5,0.22
rice,0.16,,0.89
rye,0.22,0.33,0.89
sorghum,0.22,0.33,0.89
soybean,0.19,0.45,0.91
spring-wheat,0.28,0.26,0.89
tubers,0.2,0.5,0.22
wheat,0.255,0.335,0.89
winter-wheat,0.23,0.41,0.89